userid,InboundCall,IsDealSeeker,IsDirtLover,IsDreamer,IsGreen,IsResearcher,TradeInValueGenerated,InboundCallCount,TotalInboundCallLength,BureauIncome,CreditScore1,CreditScore2,FraudScore,Income,MedianVehicleFuelEcon,MedianVehiclePrice,TradeInValueAmount,LeadSource,AgeCategory,accountcreationdatetime,PhoneNumber_hashed,MedianVehicleMileage
1,0,0,0,0,0,0,1,0,244,48156,684,692,307,52091,17.9,29822,6322,ThirdPartyListing,18-35,2018-02-05 13:48:00,,36469
2,0,0,0,0,0,0,0,0,288,53775,597,624,374,60105,26.4,22617,3759,ThirdPartyListing,18-35,2018-01-10 23:51:00,FD6E960D1EFB31AFD2E65E71A51CC9475E25BFEE74E80422FA1D6DD8533E8791,42399
3,0,0,0,0,0,0,0,0,274,29682,632,652,351,23252,25.7,25796,6568,Website,18-35,2018-02-09 06:18:00,CC2448A8343314DB37B67319CE78AFCC18CE92C60E03373C1971F4526412B50B,42876
4,0,0,0,1,0,0,1,0,331,44150,597,576,293,38006,23.9,21847,8241,Website,18-35,2018-01-01 17:33:00,0A47E42886E40E28D92A031457E5FF71155C160CEFBE8AF0A6C8BC94F7BFAE81,31618
5,0,0,0,0,1,0,1,0,357,41561,670,681,327,49516,36.3,27080,12081,Website,35-45,2018-01-13 06:31:00,308EAC272C9C8E0E718833956553728D3B1ABE02DD6D88360FE05CD616A9C27C,52785
6,0,0,0,0,1,0,0,0,285,53922,762,833,329,71156,24.4,24977,13464,Website,45-55,2018-02-04 20:07:00,B00BB1B36010F2791437088BCEA38EE0E3BBAF7C3455F70FF004B1A173C611F8,40249
7,0,0,1,0,0,1,0,0,300,50488,599,652,418,50303,20,14500,3965,Website,18-35,2018-03-26 08:58:00,8854B1F082B0FC1785928EBA19F7B862F67DFD133B91BD419057076FDEA5722D,33113
8,0,0,1,0,0,0,0,0,219,47271,668,693,306,53452,16.9,22839,8764,ThirdPartyListing,65+,2018-04-14 15:11:00,018F2F1107C2ADBFF7861EC337BA790B87BDFF1CCCA11400C8058BDF008AE94C,43040
9,1,1,1,1,0,0,1,0,319,36969,642,563,359,41126,19,21144,6024,ThirdPartyListing,45-55,2018-01-03 03:27:00,618A657AE57FE79E1311E2B4D21F4D1A02056AF00570AD22D8F844330EB15B87,32798
10,0,1,0,0,0,0,0,0,254,48088,587,612,410,32598,28.3,29590,5857,Website,18-35,2018-02-15 20:40:00,90C06E135218DC6D73608F28BE01500DA0212A9954B4CAF924F5B7B4B8EEA1EC,30557
