userid,modelScore
1,-0.001921763
2,0.262474257
3,0.112916456
4,0.323806275
5,0.055006357
6,-0.326378136
7,0.22770467
8,0.005985934
9,0.339351383
10,0.266479558
11,0.278335935
12,0.253263511
13,0.162038487
14,0.033401249
15,0.107765884
16,-0.118956452
17,0.087920027
18,0.121758931
19,0.123472376
20,0.002957976
21,-0.14272722
22,-0.139716213
23,0.017079263
24,0.093314281
25,-0.047077863
26,0.236076395
27,-0.124233397
28,0.542017285
29,0.03484521
30,-0.152142048
31,0.253153444
32,0.223595069
33,0.228465869
34,0.073380697
35,0.175943511
36,-0.216714048
37,0.013264405
38,-0.183665396
39,0.177352644
40,0.29251577
41,0.448103594
42,-0.118191895
43,-0.033208401
44,0.179057534
45,-0.098046372
46,0.171736129
47,0.084851068
48,0.290096875
49,0.058132332
50,0.033856256
51,0.225056762
52,0.237390283
53,0.195249088
54,0.158942548
55,0.377199286
56,0.161379118
57,0.368987907
58,-0.164439255
59,0.312002641
60,0.142311303
61,-0.29466116
62,0.248392532
63,0.169608313
64,0.077563593
65,0.191340806
66,0.143584564
67,0.349423898
68,-0.320826538
69,0.215381418
70,0.085076885
71,0.311645665
72,0.228025003
73,0.217721905
74,0.228567114
75,0.024864825
76,0.049449834
77,-0.003834657
78,-0.056773886
79,0.231645812
80,0.207904195
81,0.081043961
82,0.120724027
83,0.103705488
84,0.397483933
85,0.118240008
86,-0.048336277
87,-0.080513899
88,0.16363523
89,0.130574967
90,0.258070129
91,0.022751668
92,0.25262388
93,0.206923942
94,0.002539889
95,-0.004719803
96,0.098198681
97,0.100786742
98,0.038283228
99,0.060547437
100,0.050342695
101,0.235717435
102,0.289990024
103,0.118456901
104,0.030547934
105,0.100602915
106,0.024972118
107,0.293671445
108,0.347416441
109,0.138303527
110,0.276198516
111,0.327893875
112,-0.146555592
113,-0.087182095
114,0.039428627
115,0.269115553
116,0.115700785
117,0.165307389
118,0.254427679
119,0.148647666
120,0.302314607
121,0.353866582
122,0.159668317
123,0.052930961
124,0.081510264
125,-0.075391027
126,-0.109833262
127,0.183330526
128,0.433639192
129,-0.001125256
130,0.107030572
131,-0.153715131
132,0.23148438
133,0.25216904
134,0.129040842
135,0.156897037
136,0.285987097
137,0.311535055
138,0.246158455
139,0.236949845
140,0.081906195
141,-0.160261868
142,0.12818419
143,0.184191319
144,0.118091682
145,0.258885462
146,0.176655756
147,0.068608789
148,0.105838659
149,0.268223221
150,0.098786196
151,0.246892517
152,0.042130217
153,-0.016825823
154,0.148392451
155,0.03501501
156,-0.162649075
157,0.213194275
158,0.097021251
159,0.183738925
160,-0.037524897
161,0.362361232
162,0.146571215
163,0.051621523
164,0.10949139
165,0.105158909
166,0.130296603
167,-0.145945383
168,0.137894911
169,0.110482865
170,0.364422485
171,0.040378947
172,0.003912064
173,0.237730265
174,0.054021468
175,0.000609929
176,-0.097229396
177,-0.030922151
178,0.212907065
179,0.034491748
180,0.277644583
181,0.277340719
182,0.224246416
183,0.133498977
184,0.392216041
185,0.373354196
186,0.000995971
187,0.106930693
188,-0.077549229
189,0.017790466
190,-0.206052329
191,0.338008555
192,-0.083645288
193,0.086769391
194,-0.069808571
195,0.102789738
196,0.043749768
197,-0.095210261
198,0.029660038
199,-0.104921598
200,0.173153882
201,-0.05363305
202,0.20016463
203,0.314708371
204,0.009517649
205,0.388509608
206,0.212125763
207,-0.002121732
208,0.016530171
209,-0.11195098
210,0.309952665
1878,0.117915575
1879,0.224878303
1880,0.422452283
1881,0.209250124
1882,0.258961075
1883,-0.122529213
1884,0.217276346
1885,-0.277366971
1886,-0.18880239
1887,0.231301154
1888,0.051126945
1889,0.292578199
1890,0.077419297
1891,0.015300571
1892,-0.025707673
1893,0.455393197
1894,0.074750509
1895,0.183447226
1896,-0.186238158
1897,0.069172381
1898,-0.050745861
1899,-0.022369333
1900,-0.102722724
1901,0.190592467
1902,0.442062646
1903,0.248830575
1904,-0.00782732
1905,-0.055274319
1906,0.53872841
1907,0.268955013
1908,0.274453713
1909,0.01349213
1910,0.166151722
1911,0.018029492
1912,0.18899384
1913,0.152777286
1914,0.143512684
1915,0.285180146
1916,0.087897886
1917,0.124301852
1918,0.070117774
1919,0.045236805
1920,0.061043929
1921,-0.089877349
1922,0.230932574
1923,0.135668031
1924,0.135834358
1925,0.009616146
1926,0.087802958
1927,0.229246737
1928,0.14750915
1929,0.175081518
1930,0.044471324
1931,0.151580382
1932,-0.094367874
1933,0.138648216
1934,0.124518336
1935,0.139893925
1936,0.25447053
1937,0.231241554
1938,0.21822996
1939,0.077668456
1940,-0.066356809
1941,-0.078589228
1942,-0.132349917
1943,0.17778458
1944,0.008849414
1945,0.082345576
1946,0.482105703
1947,0.223105366
1948,0.067018503
1949,0.098919777
1950,0.169859924
1951,0.314689251
1952,-0.02998309
1953,0.154594348
1954,-0.153079154
1955,0.078210033
1956,0.306974086
1957,0.221014937
1958,0.047226271
1959,0.050493677
1960,0.459903698
1961,0.453241635
1962,0.130531049
1963,0.080290554
1964,0.197194469
1965,0.126060548
1966,0.427537618
1967,0.028930147
1968,-0.031695076
1969,0.236989883
1970,0.248981966
1971,0.162137717
1972,0.11587062
1973,0.207988452
1974,0.058797128
1975,0.115280256
1976,0.026840676
1977,-0.176864758
1978,0.198843753
1979,-0.089206879
1980,-0.048521754
1981,0.264010409
1982,0.251472589
1983,-0.289726572
1984,-0.064933032
1985,0.404737302
1986,0.14583579
1987,0.138203295
1988,0.294567528
1989,0.113031853
1990,0.134251487
1991,0.287164311
1992,0.446391754
1993,0.203839091
1994,0.239715234
1995,0.141607854
1996,0.574509864
1997,0.289052774
1998,-0.041342227
1999,0.167257232
2000,-0.041188548
2001,0.151294603
2002,0.279789001
2003,0.254613551
2004,-0.269723548
2005,0.182784482
2006,0.574593685
2007,0.0221773
2008,0.36252026
2009,0.303390112
2010,0.085504432
2011,0.005455014
2012,0.313579332
2013,-0.416856049
2014,0.12371553
2015,0.364608317
2016,0.185418458
2017,-0.210840234
2018,0.104266227
2019,0.140135024
2020,0.448737927
2021,0.588971095
2022,0.155780357
2023,0.549354127
2024,0.085849833
2025,0.04256532
2026,0.011440397
2027,0.121538537
2028,0.068626514
2029,0.288211309
2030,0.114289408
2031,-0.010646497
2032,0.46375938
2033,0.201498065
2034,0.169987649
2035,0.080144091
2036,0.411437483
2037,0.05854131
2038,0.030635899
2039,0.318395796
2040,-0.055550721
2041,-0.137902108
2042,0.287156509
2043,0.150239129
2044,0.360583798
2045,-0.181441864
2046,0.081488792
2047,0.162982879
2048,0.200117795
2049,0.20687993
2050,0.389379229
2051,0.205125825
2052,0.188983206
2053,0.081843816
2054,0.1621896
2055,0.283129269
2056,0.117018191
2057,0.03820133
2058,0.198030744
2059,0.032757486
2060,0.135028489
2061,0.149523932
2062,0.659563557
2063,0.475524756
2064,0.160014392
2065,0.120581472
2066,0.274778531
2067,0.453294276
2068,0.488641848
2069,0.04424662
2070,-0.215444748
2071,0.179107059
2072,-0.150056488
2073,-0.003983277
2074,0.073711351
2075,0.148353684
2076,0.026467321
2077,0.078591589
2078,0.175795546
2079,-0.105479208
2080,0.135741877
2081,0.168568295
2082,0.147662072
2083,0.200784512
2084,0.206712821
2085,0.105157158
3335,0.23709439
3336,0.279126615
3337,0.146243907
3338,0.14632272
3339,0.092207787
3340,0.344646867
3341,0.208503822
3342,0.348318157
3343,-0.111208283
3344,-0.058186358
3345,0.049625406
3346,0.052856939
3347,0.041763804
3348,0.312967168
3349,0.004746339
3350,0.058240086
3351,0.153311803
3352,-0.030585243
3353,0.51661132
3354,-0.026353071
3355,-0.059632878
3356,-0.037687905
3357,0.335355224
3358,0.259465166
3359,0.083738903
3360,0.431099291
3361,0.241458756
3362,0.039174792
3363,0.217174964
3364,0.042988144
3365,0.122062486
3366,0.069964996
3367,0.257185315
3368,-0.006643242
3369,0.181752798
3370,-0.056042221
3371,0.099753067
3372,0.200305833
3373,0.137967774
3374,0.242259876
3375,-0.100304429
3376,0.070274642
3377,0.033402867
3378,0.235048223
3379,0.202202143
3380,-0.13218437
3381,0.286887569
3382,0.103571747
3383,0.237702182
3384,-0.107825048
3385,-0.059328709
3386,0.194231215
3387,0.023157451
3388,-0.032227574
3389,0.035849099
3390,0.128054549
3391,-0.045871551
3392,0.132412374
3393,0.212439989
3394,0.21107833
3395,0.378582144
3396,0.110064331
3397,0.182392981
3398,0.129521689
3399,-0.019125962
3400,-0.012978029
3401,0.23116819
3402,0.138831148
3403,0.142710608
3404,-0.081055317
3405,-0.013005263
3406,0.136570295
3407,0.248689333
3408,0.150199512
3409,0.162640754
3410,-0.187608557
3411,0.144966377
3412,0.224071694
3413,0.218383256
3414,0.291556928
3415,0.21712938
3416,0.346326678
3417,0.263396919
3418,0.099660119
3419,0.091359613
3420,-0.118099755
3421,0.197778897
3422,-0.030639319
3423,0.254743678
3424,0.050725861
3425,0.163112537
3426,-0.004786468
3427,0.076744507
3428,0.045214711
3429,0.295219986
3430,0.013934581
3431,0.16378578
3432,0.391452042
3433,0.155533801
3434,0.006018388
3435,-0.06334583
3436,0.13536875
3437,0.059071583
3438,0.081035141
3439,0.128864269
3440,0.289250005
3441,-0.010819659
3442,0.005203593
3443,0.111452251
3444,0.243280064
3445,0.182787539
3446,0.307787713
3447,0.095909804
3448,-0.230594384
3449,0.250126073
3450,0.091188187
3451,0.126133989
3452,0.176078922
3453,-0.055742781
3454,0.2251964
3455,0.081762621
3456,0.071933875
3457,0.072578353
3458,0.412858782
3459,-0.238566324
3460,-0.22193774
3461,0.050770356
3462,0.165332028
3463,0.226098835
3464,-0.00247723
3465,-0.095218262
3466,0.219550544
3467,0.116226628
3468,0.127219921
3469,0.061182584
3470,0.157378438
3471,0.004773877
3472,-0.233308426
3473,0.316646436
3474,0.006520203
3475,-0.040601561
3476,0.106436316
3477,0.356907605
3478,0.027250954
3479,0.159416315
3480,0.107218422
3481,-0.299619096
3482,-0.068121842
3483,0.198872724
3484,0.121594798
3485,0.523612763
3486,-0.02724772
3487,0.310954533
3488,0.222680581
3489,0.047258464
3490,0.050514989
3491,0.136942265
3492,0.514590733
3493,0.003181499
3494,0.129176412
3495,-0.142314521
3496,0.388659614
3497,0.163922914
3498,0.161952401
3499,-0.245675581
3500,0.164071109
3501,-0.124007578
3502,0.136090779
3503,-0.324003092
3504,-0.056732483
3505,0.268994443
3506,0.096814646
3507,0.05584661
3508,0.260861948
3509,0.145135868
3510,-0.129063973
3511,-0.000537419
3512,-0.217365763
3513,0.086126495
3514,0.430075765
3515,-0.006764794
3516,0.179823451
3517,0.51303505
3518,0.219416705
3519,0.176331662
3520,0.013766569
3521,0.318205935
3522,-0.000332919
3523,0.312434147
3524,-0.033920818
3525,-0.001753352
3526,0.147628742
3527,0.141654945
3528,0.24945888
3529,-0.017206578
3530,0.045380411
3531,-0.141347465
3532,0.301249968
3533,0.187565651
3534,0.243140679
3535,0.538949622
3536,-0.015724999
3537,0.117785603
3538,-0.085782036
3539,0.001770633
3540,0.222405624
3541,0.03934804
3542,-0.121495783
3543,0.573533976
3544,-0.002005215
3545,-0.034587831
3546,0.175890672
3547,-0.09381082
3548,-0.112495861
3549,-0.094837184
3550,0.242374831
3551,0.064100714
3552,0.169193703
3553,0.257683409
3554,0.177106968
3555,0.323547458
3556,-0.155859697
3557,0.263121412
3558,0.254108246
3559,0.27844288
3560,0.134562257
3561,0.276450609
3562,0.253992004
3563,0.098074538
3564,0.214046293
3565,0.316650862
3566,-0.190078519
3567,0.112075581
3568,-0.117614078
3569,0.062542274
3570,-0.041566903
3571,0.298715093
3572,0.119533175
3573,-0.133017791
3574,0.375670338
3575,-0.174644483
3576,0.230483677
3577,0.105983425
3578,-0.000502811
3579,0.062140996
3580,0.16411982
3581,-0.247399137
3582,0.324526769
3583,0.073068519
3584,0.172478075
3585,0.049174605
3586,0.392214109
3587,0.257183152
3588,0.395461771
3589,0.107145381
3590,0.154134028
3591,0.263428987
3592,0.017642149
3593,-0.269293221
3594,0.138392747
3595,0.248030673
3596,-0.035495754
3597,-0.16474655
3598,0.145276366
3599,0.197025815
3600,0.174367951
3601,0.167753677
3602,0.23625087
3603,0.084531193
3604,0.183835814
3605,0.370062839
3606,-0.145805658
3607,0.186525048
3608,0.078181095
3609,0.252030952
3610,-0.032067836
3611,0.341118851
3612,-0.002040767
3613,0.138998593
3614,0.166662403
3615,0.184408199
3616,-0.150924647
3617,0.373729127
3618,0.175918822
3619,0.124737717
3620,0.507710501
3621,0.223902188
3622,0.227400356
3623,-0.069353702
3624,0.095029947
3625,0.231855683
3626,0.101881444
3627,0.435502682
3628,0.306194025
3629,0.284854738
3630,0.104616565
3631,0.009222247
3632,0.165943647
3633,-0.079267724
3634,0.137670863
3635,0.165681976
3636,-0.003378782
3637,0.191997483
3638,-0.165641315
3639,0.096892656
3640,0.153947174
3641,-0.092355453
3642,0.06233751
3643,0.411209292
3644,-0.116984517
3645,-0.089537034
3646,0.514935887
3647,0.154944297
3648,0.283211629
3649,0.222999006
3650,0.140093293
3651,0.183276381
3652,0.009447068
3653,0.186441613
3654,0.016553787
3655,0.431204979
3656,0.1970277
3657,0.327948212
3658,-0.158599884
3659,0.039990974
3660,-0.00538238
3661,0.263304624
3662,0.242594955
3663,0.326414317
3664,0.1222554
3665,0.297929626
3666,-0.104663406
3667,-0.386910678
3668,0.151402859
3669,-0.109984424
3670,0.147520074
3671,0.092969587
3672,0.606688562
3673,0.131784702
3674,0.159823669
3675,0.284825218
3676,0.34191994
3677,0.047370013
3678,0.1009987
3679,0.232902452
3680,0.354768937
3681,0.002374418
3682,-0.211473913
3683,0.314018496
3684,0.423865295
3685,0.400651003
3686,0.221256365
3687,0.307224006
3688,-0.046681196
3689,-0.072535464
3690,0.157238086
3691,0.337297655
3692,0.066217205
3693,-0.071593767
3694,0.12651557
3695,0.20977222
3696,0.045622631
3697,0.096177676
3698,0.062077957
3699,0.050076536
3700,0.105243977
3701,-0.10354908
3702,0.093985071
3703,0.210241149
3704,0.259135416
3705,0.007132551
3706,0.193798159
3707,0.290907398
3708,0.081399727
3709,0.099660532
3710,0.047517863
3711,0.127855342
3712,0.003762157
3713,-0.025594954
3714,0.301241718
3715,0.119402249
3716,0.1322031
3717,0.263511388
3718,0.174882926
3719,0.188658208
3720,0.011384314
3721,0.052932753
3722,-0.119167485
3723,0.037520464
3724,0.335690184
3725,0.339646485
3726,0.004952645
3727,0.166183126
3728,-0.380534862
3729,0.238002045
3730,0.375223056
3731,0.002517068
3732,0.083874236
3733,0.199996285
3734,0.279605657
3735,0.173466228
3736,0.414721733
3737,0.343167373
3738,0.171821189
3739,-0.162295106
3740,0.180256454
3741,-0.022328835
3742,0.20090963
3743,0.219918923
3744,0.28893408
3745,0.228565362
3746,0.402297052
3747,0.222842683
3748,0.101679918
3749,0.073801275
3750,0.026537491
3751,0.230065314
4168,0.176452959
4169,0.163125168
4170,0.125543846
4171,-0.109520281
4172,0.458404044
4173,-0.037429868
4174,-0.086322331
4175,-0.035194804
4176,0.067481979
4177,0.253232467
4178,-0.024937689
4179,0.263635029
4180,0.671006597
4181,-0.051367596
4182,0.157813594
4183,0.046658134
4184,0.233976086
4185,0.084500641
4186,0.012490826
4187,0.314540456
4188,0.055160877
4189,0.010350099
4190,0.397915005
4191,0.157704563
4192,0.095682422
4193,0.362654334
4194,0.154394944
4195,0.075918384
4196,0.112293464
4197,0.15301756
4198,0.128564065
4199,0.230334176
4200,0.335808544
4201,0.084508347
4202,-0.210039926
4203,0.414123725
4204,0.019512465
4205,-0.056627735
4206,-0.10882645
4207,0.383872707
4208,-0.015603465
4209,0.119771821
4210,-0.103254748
4211,0.181092103
4212,0.02048992
4213,0.23216271
4214,0.087587589
4215,-0.20373829
4216,0.085884929
4217,0.059875296
4218,0.225098899
4219,0.439970363
4220,0.213693423
4221,-0.235809625
4222,0.085529813
4223,0.16465936
4224,0.147440148
4225,0.152331379
4226,0.210484292
4227,-0.136083294
4228,0.100366409
4229,0.084137275
4230,0.300544271
4231,0.233452761
4232,0.076801603
4233,0.211439171
4234,0.117228994
4235,0.333456301
4236,0.059420657
4237,0.096901023
4238,0.080435823
4239,0.059305906
4240,0.193289829
4241,0.175956149
4242,0.170246845
4243,0.066255392
4244,0.101665786
4245,0.286508859
4246,0.33682162
4247,0.195093831
4248,0.009431654
4249,0.140726618
4250,0.136392751
4251,0.262283473
4252,0.186762375
4253,0.083976009
4254,0.197982188
4255,0.164106092
4256,0.210866521
4257,0.207947296
4258,0.261113435
4259,0.332401097
4260,0.186324273
4261,0.125035378
4262,0.00778127
4263,0.093066941
4264,0.078242108
4265,0.491460723
4266,-0.03717713
4267,0.417053781
4268,0.197701591
4269,0.085234303
4270,-0.059814828
4271,0.070473103
4272,0.179138707
4273,0.195453258
4274,0.079175229
4275,-0.098961962
4276,-0.084626646
4277,-0.10151505
4278,0.314771923
4279,-0.150575229
4280,0.09195048
4281,0.168190223
4282,0.202285905
4283,0.008237807
4284,0.311073469
4285,-0.215340922
4286,0.013782559
4287,-0.21834196
4288,0.228889825
4289,0.10860585
4290,0.273638942
4291,0.161535896
4292,0.224011115
4293,0.199910864
4294,0.041886523
4295,0.242311642
4296,0.016501713
4297,0.14155508
4298,-0.062007705
4299,0.211073685
4300,0.121214554
4301,0.033416646
4302,-0.080574702
4303,0.164954848
4304,-0.002022811
4305,0.062212841
4306,0.46057973
4307,-0.518402892
4308,0.003924636
4309,-0.024783737
4310,0.189744096
4311,-0.051599983
4312,0.044388227
4313,0.366528848
4314,0.249919888
4315,0.051734061
4316,-0.049158275
4317,0.248767263
4318,-0.052637625
4319,0.007703335
4320,0.321653775
4321,0.050944425
4322,0.179875604
4323,0.206327869
4324,0.074825044
4325,0.307512031
4326,0.052800387
4327,0.158465562
4328,-0.006196628
4329,0.027387991
4330,0.082445183
4331,0.169024392
4332,-0.016653401
4333,0.281752161
4334,-0.108065755
4335,0.133240126
4336,0.259234486
4337,0.24820955
4338,0.129056733
4339,0.187892123
4340,0.473161747
4341,0.213755138
4342,0.192399069
4343,0.021039085
4344,-0.084796492
4345,0.079390935
4346,-0.07807117
4347,0.064961627
4348,0.037293289
4349,-0.041514944
4350,0.042787
4351,0.18719264
4352,-0.182598527
4353,0.30278965
4354,0.203073429
4355,0.085155334
4356,0.059904244
4357,0.021174356
4358,-0.132691282
4359,0.013707725
4360,0.126285726
4361,0.234116845
4362,0.056787156
4363,-0.013725518
4364,0.282227318
4365,0.076342363
4366,0.063679733
4367,0.172760979
4368,0.068593765
4369,-0.127210978
4370,0.334620069
4371,-0.080414068
4372,0.147794872
4373,-0.271802414
4374,-0.123647276
4375,0.109495553
6672,0.324526639
6673,0.216113085
6674,0.088104008
6675,0.247642688
6676,0.435462719
6677,-0.05599776
6678,0.193424885
6679,0.043176311
6680,0.176561246
6681,-0.108856672
6682,-0.059652499
6683,0.440508346
6684,0.029075439
6685,0.07868488
6686,0.114099509
6687,-0.118890379
6688,0.14057301
6689,-0.072814993
6690,0.007071096
6691,0.042105033
6692,-0.253012234
6693,0.317773126
6694,0.03891102
6695,-0.043809058
6696,0.05729218
6697,0.205853373
6698,0.254285511
6699,0.21516405
