PhoneNumber_hashed,OBCallDateTime,Contacted,advocate_id,CallTimeSec
254106B67E64235ED87F758D871D6F0EAEADAE504B52F327BE2858FACEDF098D,2018-04-07 18:23:00,1,12,890
8391DDF38D8E79FCD3B396CEE93BAD7BDBDF58074A7C92B413B527EA65D2B3C5,2018-04-07 08:03:00,1,15,290
17761CF29802E4111B718F957DF3B565FB1A54F25FCB390CEDD341E5A4C5FB8E,2018-04-17 08:09:00,1,13,453
AB5BB4208DA5C0917EF3F86441D3BB6A1277440FA89C11BB0DA13375E37038ED,2018-04-23 09:20:00,1,10,878
3DC953F534EE15DF7C6213C09F8FF1452637C33321E57D096CFE8081AEBD47EB,2018-04-23 17:13:00,1,19,700
1AFE15F2E961B371F60CB43E2F9E41FDEA51F5D6BEB18F1B29AE96DCCF5C53E5,2018-04-06 18:48:00,0,3,0
FBB41CD28A06F34FACEFA5BBD6B17B14DC1E665A3689F17CF29C2959B1A862E6,2018-04-07 13:25:00,0,18,0
AF1AC96BDB38E63D77A794B0343A7757CF94D8B326F311FFE1DAD21B2B77D2C2,2018-04-21 18:06:00,1,3,1478
FF32534F3F4B3956237B01828F3C47AD47AD717BBA1362556AC2B5DCB49DE102,2018-04-05 14:53:00,1,16,1318
EB858689414524D654A65606B374E445A2AE25EF842C4006711B14D0274323A9,2018-04-20 15:59:00,1,12,681
E36FCF24FACB14E1A717928D358EF4522FF060F05FA4F7A6074EC3F8C9F256EC,2018-04-08 17:13:00,1,5,1310
818C20861B5574209EB6B9F14DD06916420952D689C7D19862E4CBAA9A049C1A,2018-04-28 05:54:00,1,13,57
F93F9EFCAF77579331D1499E62DF3AF6908D44FA059A705486A8107A331016C1,2018-04-12 17:48:00,1,12,908
5F58014B64A842159B5F902061750E0A519BDA099BFE5898C22802A551685167,2018-04-04 06:34:00,1,12,1690
2FFFE61CA6AD0D2D154ABB6A499C5A445C192A8B1728B789ABB466676E5D7D0E,2018-04-29 18:51:00,1,5,740
1A454C997EE57CF6E26A8DE03778BF4B94C7E9942BE4DADB630ECC736641A7D4,2018-04-15 06:12:00,1,8,1773
6576DB6089BBEF37714D9FD6D411D0E9CE1ABEF1435257221DE00C118744D58D,2018-04-05 17:30:00,1,8,812
00CE4530793EA88A7476F8FB89A73E9AEBEE3B19340FB74D2996ECDCE3414961,2018-04-02 11:36:00,1,16,771
81DC9537EE2197D451FCE15FD8F50AFF45A799769B3A694D375580FB98814631,2018-04-18 17:13:00,0,10,0
B08B38F3DC1C4253E7B1F1498EB612F70FD744B295D37FA51112380A041BF854,2018-04-03 06:30:00,0,12,0
ABAB1D333EF1DAC7EC65F5BAAD1CE01E7EF9071B5E7E46B5C709001731CCA451,2018-04-01 12:19:00,1,2,29
64568F8A0E085B47E979D0BB5526AE64CDCE1C979C2359ECDECE800F2531A333,2018-04-28 06:35:00,1,9,1633
C3622BBA13AD2445969D091A4E8C41D0476BE0FF931FE6A338733B9706FF778E,2018-04-18 16:32:00,1,11,1739
960687EDBFBF98F8EC5E8C9FB837D011199E0A9BE82D2AC49171929B1B0C8A01,2018-04-13 18:34:00,0,19,0
84A3A6A8C70519B800F7927679DC8BC8E2B15BAED743C626855B053906960CC4,2018-04-01 07:14:00,1,11,1556
8B886070A382C11825E67D4E39E194B38AD2CF6186810977DCA1CEBE0127585A,2018-04-04 16:18:00,1,2,1087
540D5DC2437CC4A248770F7D48E3DC123EDF16260AFE2338B6EF4E010ADCB13B,2018-04-15 07:12:00,1,17,166
4DA1B19F7B07B3A5C4CFF701CAE555A4BCB7BB38BA834A0A74DB26D156E1226E,2018-04-20 14:07:00,1,13,591
F07CA830918B137A53848FBFFC0788A2491282864FF21B5AD9C6BCBD1B84F3FC,2018-04-19 15:42:00,1,18,684
445EECFBDCD2441BCF7F75E28CE4F07DA66BA3E7047CCBC567D7168B280E6667,2018-04-11 05:57:00,1,16,343
EE382A895CD3B14CF6B139316D77B588F0A9DFEA2AF0FAAAA6D6F9E33C22188B,2018-04-13 13:30:00,1,14,902
72A4EA47B519FA6DEBAB6B7D2CDB2B8739237CC8D652FEF7ABBAAFFA5A7C68F6,2018-04-25 06:38:00,0,16,0
18575AA8C23871BDECF075D0EC84B18D3CF9D2EF7446FA8B0A96C3A2BC8F6EE4,2018-04-28 12:10:00,1,11,94
97C908898C445C899AFF7D526A6D979B948FD98037ACE9233962DAEFD32592F7,2018-04-18 11:39:00,1,10,1049
7FE4C178CF5BD70C86466131BFADC41FEA4B861640B4B0107DFBB78BDD694BB9,2018-04-27 13:20:00,1,12,1750
09F84542DA00367E45AB52A92C1C38E5D206A4D140EB63B5D746B9617AC728EC,2018-04-23 14:00:00,1,8,823
E53DAD0187C2ED374FF1854D5AFA5969DA60CBE1FB0BBED870F8D01A25608C59,2018-04-15 06:20:00,1,15,1022
B59600BE9B3FDBE767DCDA78CC1A33C5F69F4D6E7940208C8D112BC7E7D195FD,2018-04-26 16:25:00,0,4,0
536BFFB516B2EDE224867F4964F5F9A92833AF60B07BA283115A4F3E7B9832B9,2018-04-15 16:41:00,1,6,1528
A0EDCE61B4AC5E6AB5C867DF56B130FB8A06616138D104DD4490AF6BBBE5D95C,2018-04-19 12:00:00,1,13,206
77E4ECD22E5C5988795BC80F6ACF6B61B0EA98DFB28408A7B5240B6A836CDB9D,2018-04-20 11:36:00,1,18,1598
E3DCC6938933603B73A1BB90739DB6B608B353329418EB99B8CB653672528655,2018-04-25 13:32:00,0,16,0
4C8A19B053B8BF785CD5D4845738FE6EF2577572A08ADDBCC98C8A6CB30DF891,2018-04-06 14:31:00,1,9,637
C3DD8CE93A68E90482D6EF552EFD413A6BF5E0077D37F41B5EA7F70C816859C1,2018-04-10 12:54:00,1,9,180
