userid,saledatetime,StickerPrice,Odometer
3,2018-02-28 10:06:00,28352,18506
4,2018-02-09 00:50:00,25146,13544
5,2018-02-20 19:58:00,28809,20643
6,2018-03-21 11:35:00,27562,12269
7,2018-05-15 07:21:00,28341,14502
9,2018-01-13 09:26:00,20934,8280
10,2018-04-05 14:10:00,29747,14924
11,2018-02-16 23:22:00,12775,7832
15,2018-03-04 02:31:00,31852,21556
16,2018-04-11 09:48:00,29420,20826
17,2018-03-21 20:51:00,28999,22700
18,2018-04-04 19:10:00,19197,19759
19,2018-03-29 00:23:00,31947,21584
21,2018-02-13 09:31:00,16084,18825
22,2018-04-21 21:16:00,29652,14896
23,2018-05-12 10:34:00,19167,15750
24,2018-03-17 09:10:00,18452,13536
25,2018-05-30 14:16:00,29035,12711
26,2018-06-05 19:37:00,36455,18937
27,2018-03-05 22:46:00,17915,19374
28,2018-03-23 05:21:00,28008,20402
34,2018-05-19 14:12:00,31995,19598
35,2018-06-17 07:57:00,12994,15898
36,2018-05-22 19:01:00,25578,11673
37,2018-04-06 10:42:00,13161,17948
38,2018-04-20 00:59:00,26657,21997
43,2018-05-02 10:24:00,12883,13865
47,2018-05-18 15:59:00,19708,15912
49,2018-06-18 12:57:00,28551,20565
52,2018-04-22 13:07:00,29516,20855
57,2018-02-15 19:51:00,20473,20142
58,2018-03-02 18:11:00,21277,22383
60,2018-04-19 15:25:00,31769,21531
62,2018-01-17 14:20:00,35393,22618
63,2018-03-30 18:42:00,21286,18386
64,2018-04-07 01:53:00,25946,13784
66,2018-05-05 19:11:00,14624,14387
67,2018-02-19 09:55:00,15096,14529
68,2018-02-19 07:02:00,21490,12447
70,2018-04-30 07:25:00,30673,15202
74,2018-03-13 22:01:00,20006,30002
75,2018-04-01 15:22:00,27314,16194
77,2018-03-16 03:58:00,36472,28942
79,2018-06-05 13:06:00,12820,9846
81,2018-03-18 15:50:00,14344,10303
82,2018-02-17 15:18:00,36925,15078
83,2018-05-26 22:56:00,15198,8559
84,2018-03-07 06:35:00,32480,15744
87,2018-03-30 12:33:00,14598,22379
91,2018-05-17 13:34:00,33794,22138
92,2018-06-10 21:04:00,36347,20904
94,2018-05-11 03:00:00,15915,16774
95,2018-04-18 11:25:00,21350,20405
98,2018-02-13 17:05:00,33028,19908
101,2018-02-10 19:04:00,26031,29809
103,2018-04-15 16:30:00,20317,22095
104,2018-04-27 09:22:00,31472,13442
106,2018-05-01 15:36:00,26285,13886
108,2018-01-24 10:39:00,22470,10741
109,2018-04-23 17:44:00,20178,16053
111,2018-03-26 01:26:00,12204,23661
113,2018-05-16 06:26:00,32774,17832
114,2018-05-04 22:20:00,14592,8378
117,2018-04-10 21:42:00,21553,22466
118,2018-03-14 19:48:00,25642,19693
119,2018-04-27 23:44:00,19465,13840
120,2018-06-08 04:13:00,32998,19899
125,2018-03-30 19:58:00,18807,13642
132,2018-06-05 02:15:00,32064,13619
134,2018-03-03 06:28:00,35831,28749
138,2018-05-08 04:33:00,20548,10164
140,2018-04-17 02:47:00,31267,21380
143,2018-04-09 06:13:00,20036,8011
147,2018-04-14 18:44:00,18173,19452
149,2018-03-19 00:43:00,35812,18744
150,2018-04-21 05:54:00,20189,16057
151,2018-05-29 16:44:00,18125,17438
152,2018-01-27 23:18:00,36898,25069
153,2018-03-26 06:11:00,25390,15617
154,2018-02-10 09:57:00,20320,8096
156,2018-01-28 05:04:00,22716,18815
158,2018-05-29 13:38:00,28042,24413
159,2018-03-11 00:05:00,20540,20162
161,2018-03-26 01:22:00,28443,14533
162,2018-05-05 20:24:00,32162,11649
165,2018-02-01 21:46:00,16498,8949
168,2018-03-12 12:11:00,20702,20211
176,2018-03-01 07:28:00,26290,9887
177,2018-05-22 11:00:00,36535,28960
179,2018-06-23 05:57:00,32774,19832
186,2018-03-16 06:14:00,15121,16536
188,2018-04-19 13:22:00,26768,16030
189,2018-04-03 11:35:00,32959,23888
191,2018-05-25 06:08:00,25769,13731
192,2018-03-17 16:10:00,28520,20556
193,2018-04-25 13:36:00,15855,8757
194,2018-03-02 02:15:00,12541,19762
195,2018-04-06 13:23:00,13723,22117
196,2018-02-23 17:32:00,14208,8262
197,2018-05-06 23:57:00,21994,18598
202,2018-06-17 09:37:00,22012,20604
204,2018-05-10 03:11:00,19503,15851
207,2018-03-20 12:21:00,14802,14441
208,2018-05-05 02:57:00,20643,12193
210,2018-02-06 18:49:00,15601,16680
1880,2018-05-19 13:34:00,32754,17826
1883,2018-03-14 13:36:00,22827,14848
1891,2018-03-28 07:02:00,32352,17706
1895,2018-05-01 17:54:00,20495,14149
1898,2018-04-30 23:43:00,34708,20412
1902,2018-05-02 01:04:00,21757,14527
1903,2018-03-22 19:32:00,30012,19004
1904,2018-03-27 16:59:00,29624,20887
1905,2018-01-27 05:35:00,15824,14747
1909,2018-05-06 23:37:00,30140,25042
1910,2018-04-23 23:19:00,19554,17866
1911,2018-03-05 14:27:00,15454,20636
1914,2018-02-22 05:52:00,35350,14605
1918,2018-05-08 16:17:00,25503,21651
1921,2018-02-21 21:34:00,35538,18661
1927,2018-04-16 13:50:00,25136,25541
1928,2018-06-29 00:31:00,20660,14198
1931,2018-04-01 13:25:00,28046,16414
1932,2018-06-14 23:45:00,34630,18389
